t=2026-07-31T09:49:03+0600 lvl=info msg="no configuration paths supplied"
t=2026-07-31T09:49:03+0600 lvl=info msg="using configuration at default config path" path="/Users/ashikkhan/Library/Application Support/ngrok/ngrok.yml"
t=2026-07-31T09:49:03+0600 lvl=info msg="open config file" path="/Users/ashikkhan/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-07-31T09:49:03+0600 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-31T09:49:03+0600 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-31T09:49:03+0600 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-31T09:49:03+0600 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-31T09:49:03+0600 lvl=info msg="update available" obj=updater
t=2026-07-31T09:49:03+0600 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://noncollapsable-palacelike-junko.ngrok-free.dev
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=de187774ed92 l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=d7ae5c2776d8 l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=3a0a954e8823 l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=7e3966ce6b7c l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=d6e35b08b3c3 l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=2c5fad99157a l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=b04d358802d9 l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=1e694a33b2af l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=0ec8e70b7097 l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=bf16c5bf6d41 l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=cdc20d2a0f24 l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=317c51e068ce l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=444b967c0419 l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=6782ca02133f l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=e0e36a24a2d0 l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=cb51d077e5e3 l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=da81307dc983 l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=3b2ce065e194 l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=8e0038f7472e l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=9381073c0d01 l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=27a8307437e7 l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=9c3b62b0f572 l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:16+0600 lvl=info msg="join connections" obj=join id=95daf41b6d4f l=127.0.0.1:3000 r=103.130.11.11:53851
t=2026-07-31T09:50:18+0600 lvl=info msg="join connections" obj=join id=25906cc0a533 l=127.0.0.1:3000 r=103.130.11.3:53876
t=2026-07-31T09:50:18+0600 lvl=info msg="join connections" obj=join id=2e356e37e999 l=127.0.0.1:3000 r=103.130.11.3:53876
t=2026-07-31T09:50:18+0600 lvl=info msg="join connections" obj=join id=0a5384a82d1e l=127.0.0.1:3000 r=103.130.11.3:53876
